artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,99,0.935,0.45399999999999996,1,-7.5089999999999995,1,0.375,0.0,0.0824,0.35700000000000004,133.07299999999998,187541,4,1
DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,96,0.746,0.69,11,-7.956,1,0.16399999999999998,0.0,0.10099999999999999,0.49700000000000005,89.977,181733,4,1
BTS,Dynamite,0t1kP63rueHleOhQkYSXFY,97,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4,1
Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,95,0.7609999999999999,0.518,0,-8.871,1,0.134,3.47e-05,0.107,0.522,133.976,261493,4,1
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,97,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.33399999999999996,171.005,200040,4,1
24kGoldn,Mood (feat. Iann Dior),3tjFYV6RSFtuktYl3ZtYcq,100,0.7,0.722,7,-3.5580000000000003,0,0.0369,0.0,0.272,0.7559999999999999,90.98899999999999,140526,4,1
Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,95,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.0,0.335,0.557,95.39,174000,4,1
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,91,0.904,0.723,11,-5.224,0,0.26,0.0,0.185,0.835,145.013,227478,4,1
Jawsh 685,Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,84,0.758,0.598,0,-5.695,0,0.0868,0.0,0.295,0.6579999999999999,149.836,184905,4,1
DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,93,0.8,0.56,5,-4.8180000000000005,0,0.261,0.0,0.134,0.45,163.071,200221,4,1
Lewis Capaldi,Before You Go,7ce20yLkzuXXLUhzIDoZih,87,0.45899999999999996,0.575,3,-4.8580000000000005,1,0.0573,0.0,0.0885,0.183,111.881,215107,4,1
Gabby Barrett,I Hope (feat. Charlie Puth),5cYFwgA5dHoqR3xGnlr9ew,71,0.5539999999999999,0.5760000000000001,6,-6.495,1,0.0399,0.0,0.159,0.409,74.942,209763,4,1
SAINt JHN,Roses,3mRlFZHUyvJbPTlkzg4LyJ,71,0.782,0.5,5,-6.473,0,0.0611,1.88e-05,0.133,0.28,102.008,173611,4,1
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,95,0.823,0.586,6,-6.606,0,0.2,0.0,0.193,0.34700000000000003,125.971,190476,4,1
Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,91,0.755,0.578,0,-8.932,0,0.145,0.0,0.25,0.581,94.148,176960,4,1
Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,90,0.695,0.762,0,-3.497,1,0.0395,0.00244,0.0863,0.5529999999999999,120.042,215280,4,1
Harry Styles,Adore You,3jjujdWJ72nww5eGnfs2E7,87,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,7.000000000000001e-06,0.102,0.569,99.04799999999999,207133,4,1
Juice WRLD,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,91,0.625,0.8140000000000001,0,-5.181,1,0.0657,0.0,0.158,0.535,144.991,205485,4,1
Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,86,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0,0.0952,0.677,123.941,183290,4,1
