artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dagny,Moment,4OkHsgHOmGePTzQfsJGzJE,58,0.832,0.833,0,-3.646,0,0.0452,9.57e-05,0.156,0.97,117.973,165979,4
Two Feet,Think I'm Crazy,271bNJw8s9aL0EqxBZY56P,62,0.761,0.797,11,-4.818,0,0.0645,1.03e-05,0.196,0.782,119.975,182619,4
Anna of the North,Someone Special,59JRqDcEQi6o3ZLZKvqo12,55,0.478,0.343,7,-10.728,1,0.0294,0.421,0.123,0.0819,117.743,256671,4
Refs,Run,2BnWdpby84W3Nx5ugnCwDP,32,0.181,0.422,7,-9.211,1,0.0343,7.08e-05,0.132,0.0551,79.655,202226,5
Elohim,Good Day Bad Day,2gvk0tcgT5cm97I1TWHAQa,48,0.865,0.598,5,-6.376,0,0.0948,0.000228,0.171,0.735,110.018,194886,4
Jim-E Stack,Jeanie (feat. Bon Iver),6nv9RCo0IXNzCSGeYtzT82,64,0.672,0.849,8,-6.311,1,0.0559,0.795,0.0605,0.629,161.918,167636,4
DYLN,Shower,0C27LzjXD8MKfAmHghlfa3,35,0.533,0.688,5,-6.199,0,0.0425,0.00014,0.45,0.453,80.06,124360,4
Bishop Briggs,HIGHER,1NwQsUKLsOujDGWWMWMMq0,62,0.617,0.853,8,-4.139,1,0.0367,0.0,0.41,0.736,113.853,193049,4
Lauren Aquilina,Swap Places,7DrQHu39g1RS8ryTRf2V7o,43,0.518,0.725,0,-7.529,1,0.366,1.47e-05,0.0753,0.3,169.609,204000,4
"merci, mercy",Something You Like,0pcfBKS5NTjakHjwejtftq,52,0.697,0.67,0,-5.315,1,0.0587,0.0,0.348,0.624,132.911,213919,4
Col3trane,Pretty,6e4f88p8OxpqtbYywLAIbz,59,0.599,0.336,5,-12.528,1,0.0572,0.0623,0.111,0.427,177.908,166920,3
Millie Turner,Eye of the Storm,31GQQXI33JMIBkUWpRygLi,32,0.701,0.718,10,-8.017,1,0.0711,3.85e-06,0.0797,0.243,134.016,236984,4
LANKS,Embrace,23Dt6KNh81fu7GhcJuDwUz,37,0.437,0.415,0,-5.36,0,0.269,1e-05,0.143,0.268,74.526,207534,4
FLØRE,Rich Kids,777QFRlhJkC2HzC76cM6Gr,42,0.6,0.501,9,-10.133,1,0.0258,0.0874,0.116,0.205,140.911,202000,4
Maths Time Joy,Two Steps,4ACWPAiIYOtETNu9QsFEaP,47,0.678,0.344,11,-12.292,0,0.393,3.58e-06,0.195,0.556,113.108,242000,4
Coyote Island,Hello Silence,4kjvAMORuiMGAdoID2Yuj0,16,0.782,0.609,6,-6.054,0,0.0653,2.13e-05,0.0421,0.601,84.024,200995,4
Otzeki,Sweet Sunshine,0wOxkHzxhy7XaeEA2aFrdW,34,0.668,0.777,1,-7.637,1,0.0592,0.834,0.112,0.255,106.965,244773,4
Tempesst,Must Be a Dream,2eYioW6oELrn623Sm2c8Dm,26,0.452,0.457,2,-10.447,0,0.0268,0.163,0.104,0.359,79.974,238280,3
Alfie Templeman,Forever Isn't Long Enough,5mGSBX2TD1b5phRWfyAwQ0,52,0.669,0.915,11,-4.559,0,0.0583,4.7e-05,0.12,0.734,117.992,203603,4
Mallrat,Rockstar,1fpvdpEUe6jncotfqNGRW8,51,0.566,0.737,4,-4.531,1,0.0282,0.0739,0.11,0.52,88.977,208989,4
RESPONS,Hilary,1LYXw57s8h20G9duFNSHI7,42,0.639,0.628,5,-6.532,0,0.274,0.0,0.224,0.723,162.821,168618,4
Liz Lawrence,Whoosh,5le8Gs9XT4As7UAs084mIg,37,0.709,0.695,9,-9.42,0,0.0301,0.611,0.518,0.501,97.004,164012,4
X Lovers,Haunt You (feat. chloe moriondo),3vgf7gtRKDFNqFRJm7nA0m,52,0.566,0.532,3,-7.641,1,0.0374,0.0,0.54,0.497,100.778,167037,4
Sundara Karma,Kill Me,3Qz1BxKZLWJEYM4YdTD2eq,48,0.529,0.987,7,-2.256,1,0.0901,0.0,0.658,0.306,127.007,221489,4
Ella Mai,Not Another Love Song,5XqDJFVCyRTm5J7cIfRmR1,71,0.499,0.612,4,-5.947,0,0.127,4.99e-05,0.0993,0.218,157.218,217801,4
Shamir,Diet,5k0yxFSktMecsYRc0O3mEo,48,0.654,0.696,7,-6.795,1,0.0482,1.42e-05,0.395,0.702,119.993,197101,4
Tom Misch,Can You Feel It,4jbzmPDdZMp4JFcif3OPnH,59,0.629,0.581,7,-8.17,1,0.119,0.761,0.259,0.648,140.836,189684,4
Patricia Lalor,My Kind of Woman,2tejFgu5JsDOrqbkG3YY6E,21,0.651,0.201,11,-12.034,0,0.0271,0.194,0.112,0.224,101.489,170935,4
Matt Ryder,Feel,1KUsl0lQW0IOi9AebkDoLc,32,0.658,0.381,9,-12.344,0,0.054,0.885,0.0565,0.0386,120.015,300311,4
Ailbhe Reddy,Walk Away,0OgN6FQsmQV8xaFaOWF9LX,37,0.672,0.0961,6,-15.658,1,0.0295,0.000907,0.0692,0.144,87.016,192160,4
Leo Bhanji,Heathers,182cdDTn18w690fru2aXvp,38,0.72,0.628,11,-7.126,0,0.195,0.000502,0.122,0.499,81.006,157668,4
JAIE,Gin Eyes,0MPw6BZ4OR8QSp7Hl9xTy1,37,0.788,0.3,4,-9.17,0,0.225,0.0,0.31,0.432,145.009,195310,4
Agent blå,Lay in my Arms,7dKBFhIpQW7U220y7cj0to,29,0.387,0.87,0,-7.217,1,0.0437,0.104,0.3,0.349,142.973,226613,4
Cosmo's Midnight,A Million Times,4pGoT7HzVjVZQ3VqHRV924,54,0.539,0.515,6,-7.366,1,0.0283,6.18e-06,0.108,0.482,150.043,219497,4
Strange Eyes,Midnight Rainbows,4Nl1BQjuJJuJg7FBHkYDzQ,12,0.476,0.567,10,-6.628,1,0.0514,0.000353,0.149,0.488,159.909,180714,4
