artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Dagny,Moment,4OkHsgHOmGePTzQfsJGzJE,58,0.832,0.833,0,-3.646,0,0.0452,9.57e-05,0.156,0.97,117.973,165979,4,0
Two Feet,Think I'm Crazy,271bNJw8s9aL0EqxBZY56P,62,0.761,0.797,11,-4.818,0,0.0645,1.03e-05,0.196,0.782,119.975,182619,4,0
Anna of the North,Someone Special,59JRqDcEQi6o3ZLZKvqo12,55,0.478,0.343,7,-10.728,1,0.0294,0.421,0.123,0.0819,117.743,256671,4,0
Refs,Run,2BnWdpby84W3Nx5ugnCwDP,32,0.181,0.422,7,-9.211,1,0.0343,7.08e-05,0.132,0.0551,79.655,202226,5,0
Elohim,Good Day Bad Day,2gvk0tcgT5cm97I1TWHAQa,48,0.865,0.598,5,-6.376,0,0.0948,0.000228,0.171,0.735,110.018,194886,4,0
Jim-E Stack,Jeanie (feat. Bon Iver),6nv9RCo0IXNzCSGeYtzT82,64,0.672,0.849,8,-6.311,1,0.0559,0.795,0.0605,0.629,161.918,167636,4,0
DYLN,Shower,0C27LzjXD8MKfAmHghlfa3,35,0.533,0.688,5,-6.199,0,0.0425,0.00014,0.45,0.453,80.06,124360,4,0
Bishop Briggs,HIGHER,1NwQsUKLsOujDGWWMWMMq0,62,0.617,0.853,8,-4.139,1,0.0367,0.0,0.41,0.736,113.853,193049,4,0
Lauren Aquilina,Swap Places,7DrQHu39g1RS8ryTRf2V7o,43,0.518,0.725,0,-7.529,1,0.366,1.47e-05,0.0753,0.3,169.609,204000,4,0
"merci, mercy",Something You Like,0pcfBKS5NTjakHjwejtftq,52,0.697,0.67,0,-5.315,1,0.0587,0.0,0.348,0.624,132.911,213919,4,0
Col3trane,Pretty,6e4f88p8OxpqtbYywLAIbz,59,0.599,0.336,5,-12.528,1,0.0572,0.0623,0.111,0.427,177.908,166920,3,0
Millie Turner,Eye of the Storm,31GQQXI33JMIBkUWpRygLi,32,0.701,0.718,10,-8.017,1,0.0711,3.85e-06,0.0797,0.243,134.016,236984,4,0
LANKS,Embrace,23Dt6KNh81fu7GhcJuDwUz,37,0.437,0.415,0,-5.36,0,0.269,1e-05,0.143,0.268,74.526,207534,4,0
FLØRE,Rich Kids,777QFRlhJkC2HzC76cM6Gr,42,0.6,0.501,9,-10.133,1,0.0258,0.0874,0.116,0.205,140.911,202000,4,0
